order no,order time,customer name,customer phone,customer email,brand,item group,item name,item sku,qty,currency,price,add-on price,discount percent,discount amount,amount,tax amount,cost perunit,total cost,profit,paid to brand,payment type
TRX002,2025-02-15 10:30:00,Siti Rahayu,081234567890,siti.rahayu@email.com,Nichoa,Chocolate Bar,Lactation - 90 gr,Lactation-0,3,IDR,46000,0,0,0,138000,0,35210,105630,32370,138000,CASH
TRX002,2025-02-15 14:20:00,Siti Rahayu,081234567890,siti.rahayu@email.com,Nichoa,Energy Bar,Almond Cranberries - 1 pcs,EBA-0,10,IDR,10000,0,0,0,100000,0,4558,45580,54420,100000,CASH
TRX003,2025-02-16 09:15:00,Siti Rahayu,081234567890,siti.rahayu@email.com,Nichoa,Chocolate Bar,Pregnancy - 90 gr,Pregnancy-0,2,IDR,46000,0,0,0,92000,0,35451,70902,21098,92000,BCA
TRX004,2025-02-16 16:45:00,Siti Rahayu,081234567890,siti.rahayu@email.com,Nichoa,Choco Drink,Stress Release - 25 gr,,5,IDR,18000,0,0,0,90000,0,9061,45305,44695,90000,CASH
TRX005,2025-02-17 11:00:00,Siti Rahayu,081234567890,siti.rahayu@email.com,Nichoa,Chocolate Bar,Mind Relaxing - 90 gr,MR-0,2,IDR,46000,0,0,0,92000,0,33764,67528,24472,92000,QRIS
TRX006,2025-02-18 13:30:00,Siti Rahayu,081234567890,siti.rahayu@email.com,Nichoa,Energy Bar,Cashew Dates - 1 pcs,EBC-0,15,IDR,10000,0,0,0,150000,0,4595,68925,81075,150000,CASH
TRX007,2025-02-19 10:20:00,Siti Rahayu,081234567890,siti.rahayu@email.com,Nichoa,Spread,Almond Butter - 225 gr,,2,IDR,80000,0,0,0,160000,0,64742,129484,30516,160000,BCA
TRX008,2025-02-20 15:10:00,Siti Rahayu,081234567890,siti.rahayu@email.com,Nichoa,Chocolate Bar,Immune Booster - 35 gr,IM-1,8,IDR,28000,0,0,0,224000,0,23121,184968,39032,224000,CASH
TRX009,2025-02-21 09:45:00,Siti Rahayu,081234567890,siti.rahayu@email.com,Nichoa,Chocolate Bar,Sleeping Well - 90 gr,SW-0,3,IDR,46000,0,0,0,138000,0,35414,106242,31758,138000,QRIS
TRX020,2025-02-22 14:00:00,Siti Rahayu,081234567890,siti.rahayu@email.com,Nichoa,Choco Drink,Fresh and Fight - 25 gr,Chocodrink SR-0,12,IDR,18000,0,0,0,216000,0,7936,95232,120768,216000,CASH
TRX021,2025-02-15 11:00:00,Budi Santoso,081298765432,budi.santoso@email.com,Nichoa,Chocolate Bar,Stress Reliever - 90 gr,SR-0,1,IDR,46000,0,0,0,46000,0,34783,34783,11217,46000,CASH
TRX022,2025-02-16 10:30:00,Budi Santoso,081298765432,budi.santoso@email.com,Nichoa,Energy Bar,Almond Cranberries - 1 pcs,EBA-0,5,IDR,10000,0,0,0,50000,0,4558,22790,27210,50000,QRIS
